Latest available 2021 data is November  
AIRLINE_ID,Description,Sum(PASSENGERS)
"21869","Air Hamburg Luftverkehrsgesellschaft mbH: 36Q",4
"21879","Key Lime Air Corporation: 38Q",60651
"21894","ADVANCED AIR, LLC: AN",29107
"21909","Maritime Helicopters, Inc.: 3AQ",4271
"21944","Nealco Air Charter Services, Inc.  d/b/a  Watermakers Air: 3BQ",27
"21974","Scott Aviation, LLC  d/b/a  Silver Air: 3EQ",7628
"21979","Western Air Charter, Inc.  d/b/a  Jet Edge: 3FQ",28124
"22035","Sparfell Luftfahrt GmbH: LDQ",17
"22036","Challenge Airlines (BE) S.A.: X7",0
"22048","Concierge U Ltd. d/b/a Jet Concierge Club: JCO",25
"22061","Volkswagen AirSevice GmbH dba Volkswagon: WGT",7
"22074","Avon Jet AG: AOQ",15
"22075","Junipogo, LLC: 3KQ",31
"22080","Breeze Aviation Group DBA  Breeze: MX",258929
"22083","Baranautica Air Service LLC: BAS",163
"22085","Global Crossing Airlines, Inc.: GCA",10965
"22087","AVCON JET MALTA LTD: NIQ",2
"All Rows","All Rows (including those not displayed)",548457925
