longitud,latitud,iata_code,airport_name,region,country,dep_amount,pass_amount
35.89664705,128.65684823422797,TAE,Daegu International Airport,Daegu,South Korea,31,2525
35.5380059,-0.5368844519229578,TAF,Oran Tafaraoui Airport,Oran,Algeria,6,1293
34.2151743,134.01940079050462,TAK,Takamatsu Airport,"Takamatsu, Kagawa",Japan,187,29692
22.29066925,-97.8640037411272,TAM,General Francisco Javier Mina International Airport,"Tampico, Tamaulipas",Mexico,18044,633279
36.26799135,120.37679264563059,TAO,Qingdao Liuting International Airport,"Qingdao, Shandong",China,1847,276997
14.78783275,-92.37635495815188,TAP,Tapachula International Airport,"Tapachula, Chiapas",Mexico,7,374
40.51061755,17.39882337351819,TAR,Taranto-Grottaglie Airport,"Grottaglie, Puglia",Italy,1728,3
41.2599624,69.28511704456324,TAS,Tashkent International Airport,Tashkent,Uzbekistan,393,76078
49.07121425,20.24725741197063,TAT,Poprad-Tatry Airport,Poprad,Slovakia,1,No info
24.314824100000003,-75.45763803663925,TBI,New Bight Airport,"New Bight, Cat Island",Bahamas,1345,12549
41.66958674999999,44.95514406314355,TBS,Tbilisi International Airport,Tbilisi,Georgia,18,131
29.59499725,34.784590974856734,TCP,Taba International Airport,Taba,Egypt,1,80
38.7673205,-27.0904725,TER,Lajes Field,"Lajes, Azores",Portugal,5227,644483
28.48275745,-16.34122474502233,TFN,Tenerife North Airport (Los Rodeos Airport),"Tenerife, Canary Islands",Spain,92,17260
28.046054650000002,-16.57271529967347,TFS,Tenerife South Airport (Reina Sofia Airport),"Tenerife, Canary Islands",Spain,321,37087
42.3605703,19.25007158353284,TGD,Podgorica Airport,Golubovci,Montenegro,1,107
14.0603447,-87.21931915065048,TGU,Toncontín International Airport,Tegucigalpa,Honduras,55456,5130415
-5.0598744,-42.823510202633514,THE,Teresina Airport,"Teresina, Piauí",Brazil,10,1282
35.6979248,51.278399738353954,THR,Mehrabad International Airport,Tehran,Iran,3,No info
76.52994655,-68.7145635800423,THU,Thule Air Base,Pituffik,Greenland,581,362
32.66849245,13.149413956650154,TIP,Tripoli International Airport,Tripoli,Libya,16,4
42.403729850000005,18.724834448309945,TIV,Tivat Airport,Tivat,Montenegro,5,40
7.461951600000001,151.84307838327413,TKK,Chuuk International Airport,Weno,Federated States of Micronesia,17225,1618197
60.5133902,22.26333725991195,TKU,Turku Airport,Turku,Finland,29,4218
19.33818275,-99.565340075988,TLC,Lic. Adolfo López Mateos International Airport,"Toluca, Estado de México",Mexico,32686,697221
59.414388,24.836840478778107,TLL,Lennart Meri Tallinn Airport,Tallinn,Estonia,23,195
43.095769149999995,6.1478463767391816,TLN,Toulon-Hyères Airport,Toulon,France,35,141
61.41482,23.608124582625788,TMP,Tampere-Pirkkala Airport,Tampere / Pirkkala,Finland,15,534
36.8572453,117.21173410272695,TNA,Jinan Yaoqiang International Airport,"Jinan, Shandong",China,888,146841
69.68179375,18.91540972267273,TOS,Tromsø Airport,Tromsø,Norway,2,14
36.649042050000006,137.18721380281647,TOY,Toyama Airport,"Toyama, Toyama",Japan,169,19458
-22.7460003,117.8690033,TPR,Tom Price Airport,"Tom Price, Western Australia",Australia,29,9313
37.913008950000005,12.492621862041094,TPS,Trapani-Birgi Airport,Trapani,Italy,1,No info
3.3270177,117.5680098886989,TRK,Juwata Airport,"Tarakan, East Kalimantan",Indonesia,2,5
45.8261611,13.473368702886166,TRS,Friuli Venezia Giulia Airport,Trieste,Italy,5,115
1.3816209000000002,173.14777058642787,TRW,Bonriki International Airport,Tarawa,Kiribati,5,No info
51.0268834,71.46081320801981,TSE,Astana Airport,Astana,Kazakhstan,6,16
45.6490897,12.196684766859011,TSF,Treviso Airport,Treviso,Italy,30,102
39.12745995,117.35483617593881,TSN,Tianjin Binhai International Airport,Tianjin,China,712,8911
-19.2518982,146.77447438460155,TSV,Townsville Airport,"Townsville, Queensland",Australia,14,765
36.8493374,10.227971,TUN,Tunis–Carthage International Airport,Tunis / Carthage,Tunisia,20,3
-4.5743902,-81.25516419052624,TYL,Cap. FAP Víctor Montes Arias Airport,Talara,Peru,4,2
37.7488565,112.62232573051733,TYN,Taiyuan Wusu International Airport,"Taiyuan, Shanxi",China,12,549
44.4625583,18.724443064898992,TZL,Tuzla International Airport,Tuzla,Bosnia and Herzegovina,1,No info
61.160465450000004,-45.42536298156452,UAK,Narsarsuaq Airport,Narsarsuaq,Greenland,9,229
33.9294836,131.27519368983468,UBJ,Yamaguchi Ube Airport,"Ube, Yamaguchi Prefecture",Japan,16,3865
